Indice,texto,Categoria 1,categoria 2,categoria 3
0,Los encuestadores a boca de urna en Ecuador llevaban simulaciones de las papeletas Los encuestadores a boca de urna en Ecuador llevaban simulaciones de las papeletas,0,0,0
1,"No existen datos preliminares de los votos de prisioneros en Ecuador, informó el CNE No existen datos preliminares de los votos de prisioneros en Ecuador, informó el CNE",0,0,0
2,"La playa con basura esparcida fue fotografiada en Colombia, no en Ecuador La playa con basura esparcida fue fotografiada en Colombia, no en Ecuador",0,0,0
3,"El video muestra abejas en Nueva York, no en Colombia ni en Ecuador El video muestra abejas en Nueva York, no en Colombia ni en Ecuador",0,0,0
4,"Esta foto no fue tomada en Ecuador, sino tras una estampida en la peregrinación a La Meca en 2015 Esta foto no fue tomada en Ecuador, sino tras una estampida en la peregrinación a La Meca en 2015",0,0,0
5,"El hombre cargado en un bote no fue arrojado al mar en Ecuador, la familia desconoce si murió por COVID-19 El hombre cargado en un bote no fue arrojado al mar en Ecuador, la familia desconoce si murió por COVID-19",0,0,0
6,"El video con decenas de bolsas para cadáveres fue grabado en Ecuador, no en Nueva York El video con decenas de bolsas para cadáveres fue grabado en Ecuador, no en Nueva York",0,0,0
7,"Los restos óseos en estas fotos son de un perezoso prehistórico en Ecuador, no de “hombres gigantes” Los restos óseos en estas fotos son de un perezoso prehistórico en Ecuador, no de “hombres gigantes”",0,0,0
8,"Este video no muestra una protesta en Perú, sino una caravana de camiones en Ecuador Este video no muestra una protesta en Perú, sino una caravana de camiones en Ecuador",0,0,0
9,"Estas fosas comunes no fueron construidas en Ecuador para víctimas del nuevo coronavirus, sino en México en 2018 Estas fosas comunes no fueron construidas en Ecuador para víctimas del nuevo coronavirus, sino en México en 2018",0,0,0
10,El diario Expreso de Ecuador no publicó esta cita de Wilman Terán sobre la corrupción judicial El diario Expreso de Ecuador no publicó esta cita de Wilman Terán sobre la corrupción judicial,0,0,0
11,"Estas fotos no muestran esqueletos gigantes en Ecuador, fueron creadas por computadora Estas fotos no muestran esqueletos gigantes en Ecuador, fueron creadas por computadora",0,0,0
12,"La foto de mujeres en bikini no es de la campaña del ecuatoriano Guillermo Lasso, sino de Colombia La foto de mujeres en bikini no es de la campaña del ecuatoriano Guillermo Lasso, sino de Colombia",0,0,0
13,La foto de una urna trasladada por autoridades de tránsito en Ecuador muestra el plan “Voto en casa” La foto de una urna trasladada por autoridades de tránsito en Ecuador muestra el plan “Voto en casa”,0,0,0
14,"Acudir a votar según el último dígito de la cédula en Ecuador es una recomendación, no una obligación Acudir a votar según el último dígito de la cédula en Ecuador es una recomendación, no una obligación",0,0,0
15,Las papeletas en el video donde se denuncia fraude en Ecuador son las oficiales de las elecciones Las papeletas en el video donde se denuncia fraude en Ecuador son las oficiales de las elecciones,0,0,0
16,"“El covid-19 es una bacteria”, “Ecuador encontró la cura” y otras falsedades de un texto viral “El covid-19 es una bacteria”, “Ecuador encontró la cura” y otras falsedades de un texto viral",1,0,0
17,El video no muestra el sorteo de jueces para el caso de Rafael Correa; revela un fraude en Paraguay El video no muestra el sorteo de jueces para el caso de Rafael Correa; revela un fraude en Paraguay,0,0,0
18,"Fotos de cuerpos en una playa no son de ‘muertos por COVID-19 arrojados al agua en Ecuador’ Una imagen de varios cuerpos rota en redes, donde se asegura que se trata de víctimas del coronavirus en Ecuador, pero realmente retrata a víctimas de una estampida en Arabia Saudita durante el hajj.",0,0,0
19,"No, esta no es una foto de ‘los fallecidos por Covid-19 atacando en Ecuador’ Un video que se ha movido en Colombia y en Venezuela, como si fuera de las manifestaciones en estos países, realmente fue grabado en Guayaquil durante las protestas recientes.",0,0,0
20,"Vistazo habría publicado que Bukele anunció detención de ecuatorianos y cargamento de droga Vistazo sí publicó esa información El presidente de El Salvador informó que la Marina de ese país decomisó al menos una tonelada de cocaína y detuvo a tres ecuatorianos que la transportaban en una lancha. El presidente de El Salvador, Nayib Bukele, ha ganado...",0,0,0
21,Cinco gerentes han pasado por el HCAM desde que Noboa asumió el poder Cinco gerentes han pasado por el hospital Carlos Andrade Marín en 2024 El IESS confirmó que varias personas han asumido el cargo. En un reportaje se señaló que hay inconvenientes para contratar a los directivos por el temor a sufrir atentados.  Los contenidos en redes...,0,0,0
22,"Asambleístas saldrán de vacaciones La Asamblea tendrá su primera vacancia legislativa entre el 26 de marzo y el 9 de abril El CAL autorizó que los 137 asambleístas salgan de vacaciones en esas fechas. 1.003 asesores, técnicos, asistentes y otros empleados legislativos seguirán trabajando. Lo que hacen...",0,0,0
23,"Menos dinero para universidades 28 de 33 universidades e institutos tendrán menos presupuesto En su proforma 2024, el Gobierno contempló menos recursos para estas entidades. Además, el presupuesto también se vio reducido para la Senecyt.  La proforma presupuestaria del 2024 ha levantado las...",0,0,0
24,"El Ministerio de Salud suspende servicios de consulta externa en el país Las citas y cirugías serán reprogramadas  El Ministerio de Salud informó que a causa de los hechos que se han dado en el país se suspende estos servicios, pero se garantiza la atención de emergencia.  Ecuador vive una ola violencia, tras la fuga de Adolfo Macías,...",0,0,0
25,"“Encontraron una piscina de tilapia en una de las cárceles del Ecuador”, Daniel Noboa, candidato presidencial alianza ‘Claro que se puede’. El hallazgo se dio durante una de las intervenciones en la Penitenciaría del Litoral. Además de la piscina de tilapias, las autoridades encontraron una graja de pollos, patos y 15 perros. La violencia carcelaria sigue evidenciando la ola de inseguridad en el país.  En...",0,0,0
26,Capturan a falso agente del FBI en Ecuador Un sujeto con armas y equipo tecnológicos se hacía pasar por agente federal El falso agente fue capturado en posesión de un dron con capacidad para conectarse con sofisticados equipos de geo posicionamiento. En páginas de Facebook y en cuentas de Instagram se...,0,0,0
27,"Terán dijo que hizo una sentencia chueca contra Correa por presión de la Fiscal Las declaraciones de Terán fueron sacadas de contexto Aunque el video es real, en ningún momento Wilman Terán dijo que hizo la sentencia por amenazas. Además, sus declaraciones no implican la inocencia de Correa.  Las declaraciones dadas ayer por el expresidente del...",0,0,0
28,"Director del IESS removido por oponerse a la jubilación a los 70 años El director del IESS sí fue removido, no se conoce la motivación El directorio tomó la decisión por unanimidad, pero no existe evidencia de su posición sobre la propuesta del Presidente de la entidad sobre motivar una jubilación más tardía. La desinformación ronda las...",0,0,0
29,"Pachakutik propone a Leonidas Iza como precandidato presidencial En una asamblea regional de la Costa, se propuso a Leonidas Iza como precandidato Guillermo Churuchumbi aclaró que ésta se trata de una de las precandidaturas presidenciales entre otras que se prevén presentar en otras asambleas de las bases de otras regiones del...",0,0,0
30,"Estudio encuentra que el café inhibe el SARS-Cov-2 La única medida de protección frente al Covid-19 es la vacuna  Aunque dicho estudio fue publicado en el 2022, éste no ha sido avalado por la OMS. Los expertos consultados aseguran que no hay ninguna relación entre el Covid-19 y el café. En el 2020, el mundo se...",1,0,1
31,"Noboa perdona $1.500 millones a sus amigos Noboa propone amnistías tributarias en su proyecto de Ley Se plantea la condonación de multas e interés de deudores con el SRI; quienes se acojan aún deben pagar el capital. Además, este recurso estará habilitado a todo tipo de deudores. “‘¿Cómo puede ser que el...",0,0,0
32,Grupo Noboa aparece como el primer evasor en el ranking de deudores del SRI Exportadora Bananera Noboa está en el primer lugar de deudores del SRI Ésta no es la única empresa que forma parte del Grupo Noboa. Daniel Noboa no ha formado parte de los directivos de la empresa. Y la publicación presenta sesgos políticos. Los candidatos y sus...,0,0,0
33,"Rafael Correa publicó un tuit sobre la integración de las pandillas El tuit fue publicado por Correa en 2018 En su gobierno, el expresidente, junto con la exministra de Cultura, Andrea Rodríguez, y la Policía establecieron políticas de reintegración de las pandillas.  En Ecuador, el progresivo aumento del crimen y la violencia ha sido...",0,0,0
34,Noboa se va del país un día antes de las marchas El Presidente sí viajó a Perú ayer Daniel Noboa asistió hoy al gabinete binacional. El viaje tendrá la duración de un día.  La convocatoria a movilizaciones por el aumento del precio de los combustibles en el país ha abierto la puerta a que en redes sociales se...,0,0,0
35,"Según cifras del INEC, sólo el 11% de los migrantes en el país no tiene documentos Las cifras se desprenden del Censo Poblacional Este fue realizado en 2022. En el país hay 425.045 extranjeros y de estos apenas 47.926, el 11% migrantes no poseen documentos. La migración se ha convertido en un tema recurrente en las conversaciones diarias de los...",0,0,0
36,"Aumentarán de 137 a 151 asambleístas en 2025 El aumento en la población implica más legisladores Ecuador ascendió a 16′938.986 habitantes y según la Ley electoral, corresponderá elegir 151 asambleístas en las elecciones del 2025.  El aumento de asambleístas se ha planteado como una realidad en el país y esto ha...",0,0,0
37,Iza anuncia apoyo al juicio político contra la Fiscal Iza sí dijo que la Fiscal debería ser llevada a juicio El dirigente de la Conaie emitió este pronunciamiento luego de participar en la posesión de las nuevas autoridades de Pachakutik. Las propuestas e iniciativas en la Asamblea han cobrado protagonismo en las...,0,0,0
38,"“Ecuador no tiene una agencia de inteligencia consolidada. Tiene inteligencia de los policías, inteligencia de los militares e inteligencia que se reporta al Presidente”, Daniel Noboa, candidato presidencial, alianza ‘ADN’. En efecto, existen departamentos de inteligencia en la Policía, las FF.AA. y el CIES, que reporta al Ejecutivo. No hay una entidad que articule todas las labores de inteligencia. El Cosepe asesora al primer mandatario, pero no hace inteligencia.  El candidato...",0,0,0
39,"La Fiscal habría dicho que le recomendaron dejar de investigar a asambleístas Las declaraciones de la Fiscal son antiguas y están fuera de contexto Esto fue en una entrevista que dio Diana Salazar a TVC Ecuador el 5 de junio del 2020. Allí, se refirió a investigaciones de asambleístas del periodo del Gobierno de Lenín Moreno. El post circula...",0,0,0
40,"Cuñada del Ministro de Agricultura fue detenida por narcotráfico Fiscalía se abstuvo de formular cargos contra los implicados en el caso Si bien la cuñada del Ministro fue aprehendida por un decomiso de droga en un contenedor de exportación, salió libre. Este caso no tiene nada que ver con El Salvador o su mandatario como señala la...",0,0,0
41,"Según Cedatos, el 85% desconfía de Atamaint para el control de estas elecciones La encuesta fue realizada en 2020 y no en el contexto actual  El presidente de Cedatos dijo a Ecuador Chequea que el dato está “desactualizado” y no corresponde a resultados de encuestas realizadas actualmente por la encuestadora. No hay tema que no sea de interés...",0,0,0
42,"Abad no cree que haya más empleo y seguridad en Ecuador Abad cuestionó los problemas de empleo en el país Tras la detención de su hijo, la Vicepresidenta se refirió de manera indirecta a la inseguridad en Ecuador, pero no dijo la frase que se menciona en el post. Cuando el nuevo Gobierno llegó, se evidenció un...",0,0,0
43,"Abogado de Abad quiere frenar reestructuración de la Vicepresidencia y que vuelva para hacer campaña Un abogado pidió que se declare inconstitucional el decreto que envió a Abad a Israel El jurista no representa a la Vicepresidenta, su demanda fue presentada en calidad de ciudadano; se incluye el tema de la Vicepresidencia, pero no se habla de campaña electoral. En...",0,0,0
44,"Lasso busca la exoneración de la visa Schengen para facilitar la migración de más ecuatorianos Lasso busca avanzar en la eliminación de la visa Schengen El presidente viajó a Europa para asistir a eventos internacionales y ha pedido la exención de esta visa para fortalecer las relaciones comerciales e incrementar el turismo.  A diario, la desinformación busca...",0,0,0
45,"Sonnenholzner fue el mentalizador del Gobierno de Moreno Sonnenholzner fue Vicepresidente de Moreno durante casi 19 meses Con un video filtrado con fragmentos de una grabación de Moreno en la época del paro de octubre del 2019, se asevera que Sonnenholzner fue su “gran asesor”. En los últimos días ha circulado en redes...",0,0,0
46,"Juristas internacionales evaluarán la tesis de Diana Salazar Organizaciones promueven un análisis a la tesis de la Fiscal, pero no es nada oficial Las 4 entidades comparten en sus redes contenidos muy similares, muchos afines al ‘progresismo’ y al correísmo. Se espera dictamen de la U. Central.   El nombre de la fiscal general,...",0,0,0
47,"Con título ‘chimbo’, Fiscal intenta acusar de peculado a Glas Salazar formulará cargos contra Glas por peculado en la reconstrucción tras el terremoto  Sobre el supuesto plagio de la tesis de la Fiscal hay una denuncia, pero no existe ningún dictamen definitivo.  En las redes sociales, no dejan de compartirse posts con textos y...",0,0,0
48,"Villavicencio catalogó a su partido de “mierda” Villavicencio no llamó mierda al partido que lo auspicia, aunque sí usó esa palabra para una respuesta En dos audios mutilados se escucha a exasambleísta hablar de “mierda”, pero no en la forma literal en la que se trata de hacer aparecer.  Durante los periodos...",0,0,0
49,"65 millones de chinos se contagiarán de la variante Ómicron XBB cada semana en junio Se toma para este post una declaración de un médico, durante una conferencia La OMS no se ha pronunciado al respecto; en abril fue la última vez que se hablaba de la variante Ómicron XBB en China.  Desde que se conoció de la variante Ómicron ​del SARS-CoV-2, causante...",1,0,1
50,El Diario habría publicado que Noboa anuncia la compra de otro avión presidencial No se encontró registros de que el medio haya hecho esa publicación Tampoco se encontró información de que Noboa haya hecho referencia a la compra de otra aeronave presidencial. El Presidente derogó el decreto que permitía la venta del avión presidencial.  POR:...,0,0,0
51,Bukele advierte a Ecuador sobre intervención extranjera Bukele no ha lanzado advertencias a Ecuador sobre una supuesta intervención extranjera  El discurso que se presenta en el post no es actual y tampoco se refería a Ecuador. Bukele lo dijo el 15 de septiembre de 2022.   POR: Redacción Ecuador Chequea Nayib Bukele...,0,0,0
52,"Noboa baja la gasolina como estrategia de campaña Actualmente, las gasolinas bajan o suben de precio mensualmente por un sistema de bandas En julio, el Gobierno implementó esta medida para reducir el gasto estatal. Los precios de las gasolinas cambian el 12 de cada mes. El Presidente no ha propuesto un nuevo cambio...",0,0,0
53,"Fiscal habría dicho que correísmo planifica atentado en su contra, tras fallido juicio político No hay evidencia de que la Fiscal haya dicho que el correísmo planea un atentado en su contra  La publicación no pertenece a Ecuavisa, usurpa sus logos y está editada. Ni en entrevistas, ni en sus redes sociales Diana Salazar ha dado esa declaración. La Fiscal cerró...",0,0,0
54,"Pfizer afirma que las vacunas de ARNm causan miocarditis y pericarditis En el post, el comunicado de Pfizer está descontextualizado  Las farmacéuticas deben informar siempre sobre las reacciones que podrían ocasionar los fármacos. En el caso de las vacunas, los expertos señalan que los beneficios son mayores. “Con las vacunas contra el...",1,0,1
55,"Últimas semanas de Lasso como presidente El juicio político aún no termina, podría suceder incluso que no se llame a interpelación Hasta el 6 de mayo, la Comisión de Fiscalización debe presentar el informe que recomiende o no el juicio político a Guillermo Lasso.  En medio de la crisis política que vive el...",0,0,0
56,"Ministra Núñez habría dicho que hay despidos intempestivos por apagones No hay registro de que la Ministra del Trabajo haya dicho que hay despidos por apagones  La cuenta usurpa los logotipos y nombres de Teleamazonas para publicar una mentira. Ayer, la ministra Ivonne Núñez aseguró que, hasta el momento, no tiene registros de despidos...",0,0,0
57,"Verónica Abad dice que está secuestrada en Israel y responsabiliza a Noboa En una entrevista, Abad dijo que la tienen secuestrada en ese país  La Vicepresidenta aseguró que su pedido de 5 días de vacaciones fue negado, porque no hay una persona que la pueda reemplazar en el cargo. Así justificó esa afirmación. La relación entre el...",0,0,0
